Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Month,Hour_of_Day,Course_Level,Class_Standing_BGSU,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT
Fall 2016,3,55,FEMALE,12,3.75,131,0.281,Wed,Sep,18,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,63,MALE,10,2.7,130,-0.492,Wed,Sep,19,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,74,MALE,15,3,128,-0.094,Wed,Sep,19,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,74,MALE,15,2.25,137,-0.472,Wed,Sep,19,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,46,MALE,18,4,169,0.024,Wed,Sep,19,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,73,MALE,16,3.437,161,0.155,Wed,Sep,19,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,78,FEMALE,15,2,82,-0.328,Wed,Sep,19,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,3,146,FEMALE,12,3.25,146,-0.311,Wed,Sep,19,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,97,FEMALE,18,2.285,139,0.266,Wed,Sep,19,Advanced,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,3,36,MALE,11,2.6,162,-0.417,Wed,Sep,20,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,72,FEMALE,16,3.062,128,-0.139,Wed,Sep,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,53,FEMALE,17,3.47,145,0.579,Wed,Sep,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,31,FEMALE,18,4,127,0,Wed,Sep,21,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,53,FEMALE,13,3.307,150,-0.353,Wed,Sep,21,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,156,MALE,14,3.2,131,0.245,Thu,Sep,8,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,113,FEMALE,14,4,176,0.375,Thu,Sep,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,156,MALE,17,3.571,133,0.593,Thu,Sep,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,170,FEMALE,18,3.235,45,-0.193,Thu,Sep,10,Advanced,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,3,45,FEMALE,16,2.875,28,0.087,Thu,Sep,10,Introductory,Freshman,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,45,FEMALE,19,3.769,125,-0.006,Thu,Sep,10,Introductory,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,34,FEMALE,15,3.666,133,-0.046,Thu,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,111,MALE,7,3,155,0.82,Thu,Sep,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,32,FEMALE,15,4,6,0,Thu,Sep,10,Intermediate,Freshman,2021,0,FALSE,FALSE,FALSE
Fall 2016,3,24,FEMALE,14,2.545,125,-0.318,Thu,Sep,11,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,74,MALE,16,3.812,126,0.097,Thu,Sep,11,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,100,MALE,16,3.8,139,0.207,Thu,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,21,FEMALE,13,2.846,129,-0.24,Thu,Sep,11,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,27,MALE,16,3.625,125,0.158,Thu,Sep,11,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,69,MALE,13,2.153,126,-0.463,Thu,Sep,11,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,3,27,MALE,16,4,131,0.084,Thu,Sep,11,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,59,MALE,13,3.8,126,0.349,Thu,Sep,11,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,175,MALE,13,2.076,133,-0.963,Thu,Sep,11,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,3,37,MALE,15,3.666,123,0.096,Thu,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,67,MALE,14,3.2,131,0.245,Thu,Sep,12,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,32,FEMALE,13,2.538,139,0.058,Thu,Sep,12,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,71,FEMALE,15,3.666,125,-0.015,Thu,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,65,MALE,18,3.2,130,-0.356,Thu,Sep,12,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,246,FEMALE,24,3.4,153,-0.031,Thu,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,58,FEMALE,19,3.176,133,-0.525,Thu,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,65,FEMALE,17,3.705,159,-0.157,Thu,Sep,13,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,3,138,MALE,3,0,136,-3.186,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,144,FEMALE,15,3.2,125,-0.141,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,152,FEMALE,16,3.076,124,-0.471,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,141,FEMALE,16,2.875,134,-0.303,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,158,MALE,19,3.625,126,0.131,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,120,FEMALE,12,4,135,0.12,Thu,Sep,13,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,155,MALE,16,3.307,125,0.094,Thu,Sep,13,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,93,MALE,17,2.333,127,-0.503,Thu,Sep,13,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,96,FEMALE,13,3.23,35,0.162,Thu,Sep,13,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,3,48,MALE,14,3.2,131,0.245,Thu,Sep,13,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,126,FEMALE,12,3.75,152,0.393,Thu,Sep,13,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,3,95,FEMALE,17,4,150,0,Thu,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,167,MALE,12,2.25,70,-0.215,Thu,Sep,14,Introductory,Junior,2017,1,TRUE,TRUE,FALSE
Fall 2016,3,23,MALE,18,3.647,154,-0.353,Thu,Sep,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,3,62,MALE,16,2,45,-0.21,Thu,Sep,14,Advanced,Sophomore,2018,1,TRUE,TRUE,FALSE
Fall 2016,3,31,MALE,15,3.6,122,-0.08,Thu,Sep,14,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,3,393,MALE,4,1,150,-1.089,Thu,Sep,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,47,MALE,12,2.25,136,-0.47,Thu,Sep,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,125,FEMALE,17,2.529,133,-0.35,Thu,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,70,MALE,0,0,143,-3.117,Thu,Sep,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,39,FEMALE,16,3.625,133,0.252,Thu,Sep,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,52,FEMALE,10,1.4,141,-0.85,Thu,Sep,15,Advanced,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2016,3,49,FEMALE,16,2.187,123,-0.576,Thu,Sep,15,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,3,21,FEMALE,16,4,125,0.256,Thu,Sep,15,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,3,109,FEMALE,15,3.666,125,-0.015,Thu,Sep,15,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,100,MALE,15,2.6,146,-0.475,Thu,Sep,16,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,58,FEMALE,6,0,12,-3,Thu,Sep,16,Advanced,Freshman,2020,0,FALSE,FALSE,FALSE
Fall 2016,3,63,MALE,15,2.25,137,-0.472,Thu,Sep,16,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,66,MALE,16,3.076,123,-0.041,Thu,Sep,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,38,FEMALE,16,3.625,125,-0.029,Thu,Sep,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,52,MALE,16,3.769,107,0.15,Thu,Sep,16,Introductory,Senior,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,121,FEMALE,24,3,146,-0.152,Thu,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,78,FEMALE,16,3.437,141,-0.171,Thu,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,78,FEMALE,19,4,122,0.152,Thu,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,318,MALE,18,3.666,159,-0.07,Thu,Sep,16,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,43,MALE,16,3.437,123,0.104,Thu,Sep,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,84,FEMALE,24,3.4,153,-0.031,Thu,Sep,16,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,42,MALE,16,3.187,131,0.179,Thu,Sep,17,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,3,286,MALE,16,2.307,120,0.087,Thu,Sep,17,Introductory,Senior,2021,0,FALSE,FALSE,FALSE
Fall 2016,3,40,MALE,15,3.5,150,0.244,Thu,Sep,17,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,139,MALE,10,2.333,139,-0.591,Thu,Sep,17,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,41,MALE,15,3,128,-0.094,Thu,Sep,17,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,102,MALE,7,3,155,0.82,Thu,Sep,17,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,6,MALE,16,3.769,125,-0.231,Thu,Sep,17,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,135,MALE,15,1.5,12,-0.166,Thu,Sep,17,Introductory,Freshman,2017,1,TRUE,TRUE,FALSE
Fall 2016,3,9,FEMALE,17,3.294,134,0.08,Thu,Sep,17,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,157,FEMALE,18,3.6,123,0.131,Thu,Sep,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,155,MALE,15,4,134,0.495,Thu,Sep,18,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,56,FEMALE,12,3.5,69,0.3,Thu,Sep,18,Introductory,Junior,2018,1,FALSE,FALSE,FALSE
Fall 2016,3,88,FEMALE,12,3,169,0.274,Thu,Sep,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,18,MALE,16,3.769,125,-0.231,Thu,Sep,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,15,FEMALE,16,2.8,160,0.15,Thu,Sep,18,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,169,FEMALE,14,3.428,39,0.298,Thu,Sep,19,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,3,7,FEMALE,16,2.187,123,-0.576,Thu,Sep,19,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,3,109,FEMALE,15,3.2,9,0.263,Thu,Sep,19,Introductory,Freshman,2018,0,FALSE,TRUE,FALSE
Fall 2016,3,87,MALE,7,3,155,0.82,Thu,Sep,19,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,22,FEMALE,1,3,122,-0.347,Thu,Sep,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,110,MALE,13,2.384,127,-0.374,Thu,Sep,20,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,41,MALE,16,3.437,138,0.144,Thu,Sep,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,27,FEMALE,17,3,138,-0.594,Thu,Sep,20,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,21,FEMALE,22,3.578,143,0.167,Thu,Sep,20,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,36,FEMALE,21,3.8,108,0.35,Thu,Sep,21,Introductory,Senior,2018,0,FALSE,TRUE,FALSE
Fall 2016,3,29,FEMALE,17,3.785,138,0.064,Thu,Sep,21,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,3,22,MALE,11,2.6,162,-0.417,Fri,Sep,8,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,88,MALE,18,3.666,159,-0.07,Fri,Sep,9,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,110,FEMALE,13,3.75,142,1.35,Fri,Sep,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,125,MALE,17,3.647,132,-0.122,Fri,Sep,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,31,MALE,17,3.4,126,0.462,Fri,Sep,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,122,MALE,16,3.692,122,0.362,Fri,Sep,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,122,MALE,17,2.882,126,0.032,Fri,Sep,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,35,FEMALE,19,3.842,166,0.176,Fri,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,92,MALE,16,3.769,125,-0.231,Fri,Sep,10,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,75,FEMALE,16,2.875,123,0.217,Fri,Sep,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,28,FEMALE,16,3.769,129,0.192,Fri,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,35,FEMALE,21,3.8,108,0.35,Fri,Sep,11,Introductory,Senior,2018,0,FALSE,TRUE,FALSE
Fall 2016,3,124,FEMALE,13,2.1,126,-0.722,Fri,Sep,11,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,13,FEMALE,18,2.75,30,-0.625,Fri,Sep,11,Intermediate,Sophomore,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,74,FEMALE,13,3.153,129,1.075,Fri,Sep,11,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,7,MALE,13,3.769,128,0.181,Fri,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,124,MALE,15,3.666,123,0.096,Fri,Sep,12,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,3,53,FEMALE,18,3,139,-0.553,Fri,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,25,FEMALE,16,4,132,0.083,Fri,Sep,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,37,FEMALE,12,2.5,123,-0.716,Fri,Sep,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,36,MALE,13,3.769,128,0.181,Fri,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,30,MALE,16,2.312,131,-0.25,Fri,Sep,12,Intermediate,Extended,2020,0,FALSE,FALSE,TRUE
Fall 2016,3,63,MALE,12,2.666,133,0.03,Fri,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,59,MALE,13,4,145,0.616,Fri,Sep,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,50,MALE,16,2.714,132,0.033,Fri,Sep,14,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,23,MALE,17,3.647,123,0.36,Fri,Sep,14,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,25,MALE,16,3.187,137,0.25,Fri,Sep,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,88,FEMALE,15,3.8,123,-0.066,Fri,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,20,FEMALE,18,4,13,0,Fri,Sep,15,Introductory,Freshman,2019,1,FALSE,TRUE,FALSE
Fall 2016,3,68,FEMALE,13,3,164,-0.346,Fri,Sep,15,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,65,MALE,18,2.8,165,0.041,Fri,Sep,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,55,FEMALE,12,3,169,0.274,Fri,Sep,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,76,MALE,14,3.142,158.19,0.036,Fri,Sep,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,131,FEMALE,15,3.4,122,0.042,Sun,Sep,18,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,94,FEMALE,12,4,135,0.12,Sun,Sep,18,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,3,143,FEMALE,12,2.666,143,-0.799,Sun,Sep,18,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,3,62,MALE,19,3.625,126,0.131,Sun,Sep,18,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,87,FEMALE,17,4,137,0.514,Sun,Sep,18,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,121,FEMALE,12,3.25,146,-0.311,Sun,Sep,18,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,93,MALE,18,3.666,159,-0.07,Sun,Sep,19,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,3,123,FEMALE,15,3.8,123,-0.066,Sun,Sep,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,34,FEMALE,20,2.692,131,-0.516,Sun,Sep,19,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,51,FEMALE,20,3.647,174,-0.212,Sun,Sep,20,Advanced,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,3,84,FEMALE,15,3.5,126,-0.076,Sun,Sep,20,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,83,FEMALE,16,3.437,150,-0.403,Sun,Sep,20,Advanced,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,3,50,MALE,16,3.307,125,0.094,Sun,Sep,21,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,49,MALE,19,3.625,126,0.131,Sun,Sep,21,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,3,22,MALE,14,0,8,-1.437,Sun,Sep,21,Introductory,Freshman,2017,1,TRUE,TRUE,FALSE
Fall 2016,4,179,MALE,12,2.666,133,0.03,Mon,Sep,9,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,127,MALE,17,3.647,132,-0.122,Mon,Sep,9,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,152,FEMALE,15,4,76,0,Mon,Sep,9,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,4,49,MALE,14,1.928,122,-1.092,Mon,Sep,10,Introductory,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,4,122,FEMALE,13,3.75,142,1.35,Mon,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,165,FEMALE,20,4,41,0.084,Mon,Sep,10,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,4,19,FEMALE,19,4,154,0.606,Mon,Sep,10,Intermediate,Extended,2018,0,FALSE,FALSE,FALSE
Fall 2016,4,49,MALE,16,3.437,123,0.156,Mon,Sep,10,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,4,49,MALE,9,0.666,68,-1.449,Mon,Sep,10,Introductory,Junior,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,91,MALE,8,2.666,123,0.047,Mon,Sep,10,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,34,FEMALE,19,3.25,141,-0.397,Mon,Sep,10,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,49,MALE,12,2.25,136,-0.47,Mon,Sep,10,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,33,MALE,16,3.769,125,-0.231,Mon,Sep,11,Introductory,Extended,2021,0,FALSE,TRUE,FALSE
Fall 2016,4,176,MALE,17,3,148,0.188,Mon,Sep,11,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,23,MALE,16,3.625,122,0.197,Mon,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,74,FEMALE,18,2.888,151,-0.338,Mon,Sep,11,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,82,FEMALE,16,2.769,144,-0.085,Mon,Sep,11,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,135,MALE,9,2,24,0.038,Mon,Sep,11,Introductory,Freshman,2018,1,TRUE,FALSE,FALSE
Fall 2016,4,61,FEMALE,17,4,142,0.189,Mon,Sep,12,Intermediate,Extended,2018,0,FALSE,FALSE,FALSE
Fall 2016,4,61,FEMALE,17,3.941,136,0.076,Mon,Sep,12,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,95,MALE,17,3.571,133,0.593,Mon,Sep,12,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,14,MALE,20,3.5,123,0.025,Mon,Sep,12,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,18,MALE,7,3,155,0.82,Mon,Sep,12,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,46,MALE,16,3.076,63,0.112,Mon,Sep,12,Introductory,Junior,2017,0,TRUE,TRUE,FALSE
Fall 2016,4,34,MALE,15,3,119,-0.105,Mon,Sep,12,Introductory,Senior,2020,0,FALSE,FALSE,FALSE
Fall 2016,4,150,FEMALE,16,3.562,135,0.371,Mon,Sep,12,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,60,FEMALE,14,4,176,0.375,Mon,Sep,13,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,60,FEMALE,16,3.625,133,0.252,Mon,Sep,13,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,58,FEMALE,16,2.875,123,0.217,Mon,Sep,13,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,45,MALE,12,3,123,0.095,Mon,Sep,13,Advanced,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,4,25,MALE,16,4,138,0.512,Mon,Sep,13,Intermediate,Extended,2017,0,TRUE,FALSE,FALSE
Fall 2016,4,91,FEMALE,15,4,126,0.036,Mon,Sep,13,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,133,FEMALE,18,4,13,0,Mon,Sep,14,Introductory,Freshman,2019,1,FALSE,TRUE,FALSE
Fall 2016,4,118,FEMALE,20,4,41,0.084,Mon,Sep,14,Introductory,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,4,28,FEMALE,15,2.416,133,-0.441,Mon,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,112,FEMALE,13,3.23,129,-0.185,Mon,Sep,14,Introductory,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,4,39,MALE,15,0.8,130,-1.121,Mon,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,57,FEMALE,16,2.615,125,-0.393,Mon,Sep,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,4,115,FEMALE,15,3.666,125,-0.015,Mon,Sep,14,Introductory,Extended,2020,0,FALSE,TRUE,FALSE
Fall 2016,4,73,FEMALE,24,3.4,153,-0.031,Mon,Sep,14,Intermediate,Extended,2020,0,FALSE,FALSE,FALSE
Fall 2016,4,96,FEMALE,19,3.842,166,0.176,Mon,Sep,14,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,61,MALE,14,2.615,131,0.138,Mon,Sep,15,Introductory,Extended,2019,0,FALSE,TRUE,FALSE
Fall 2016,4,45,FEMALE,14,2.545,125,-0.318,Mon,Sep,15,Introductory,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,124,FEMALE,13,2.846,150,-0.332,Mon,Sep,15,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,4,313,MALE,20,3.5,123,0.025,Mon,Sep,15,Intermediate,Extended,2018,0,TRUE,TRUE,FALSE
Fall 2016,4,38,FEMALE,12,3.583,148,0.638,Mon,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,35,FEMALE,15,3,142,-0.33,Mon,Sep,16,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,4,22,FEMALE,15,2.8,33,-0.1,Mon,Sep,16,Advanced,Sophomore,2017,1,TRUE,TRUE,FALSE
Fall 2016,4,30,MALE,19,3.812,126,-0.074,Mon,Sep,16,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
Fall 2016,4,29,FEMALE,9,4,135,0.61,Mon,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,4,32,FEMALE,14,2.727,65,-0.066,Mon,Sep,16,Intermediate,Junior,2018,0,TRUE,FALSE,FALSE
Fall 2016,4,93,MALE,16,3.812,126,0.097,Mon,Sep,16,Intermediate,Extended,2018,0,TRUE,FALSE,TRUE
Fall 2016,4,7,MALE,11,2.6,162,-0.417,Mon,Sep,16,Intermediate,Extended,2021,0,FALSE,FALSE,FALSE
Fall 2016,4,24,FEMALE,13,2.8,123,-0.752,Mon,Sep,16,Intermediate,Extended,2019,0,FALSE,FALSE,FALSE
